Amy Grant;Grown-Up Christmas List
Andy Williams;Happy Holiday
Andy Williams;The Most Wonderful Time of the Year
Angela Lansbury;We Need a Little Christmas
Band Aid;Do They Know It's Christmas?
Barenaked Ladies & Sarah McLachlan;God Rest Ye Merry, Gentlemen
Billy Mack;Christmas Is All Around
Bing Crosby & David Bowie;Little Drummer Boy
Bing Crosby & David Bowie;Peace on Earth/The Little Drummer Boy
Bing Crosby;White Christmas
Bobby Helms;Jingle Bell Rock
Brenda Lee;Rockin' Around the Christmas Tree
Bruce Springsteen;Santa Claus Is Coming to Town
Burl Ives;Holly Jolly Christmas
Carpenters;Merry Christmas, Darling
Carrie Underwood;The First Noel
Celine Dion;O Holy Night
Celine Dion;The Magic of Christmas Day
Chris Rea;Driving Home for Christmas
Chris de Burgh;A Spaceman Came Travelling
Chuck Berry;Run Rudolph Run
Coldplay;Christmas Lights
Darlene Love;Christmas (Baby Please Come Home)
Dean Martin & Martina McBride;Baby, It's Cold Outside
Dean Martin;Let It Snow! Let It Snow! Let It Snow!
Dean Martin;Marshmallow World
Eagles;Please Come Home for Christmas
Eartha Kitt;Santa Baby
Elton John;Step Into Christmas
Elvis Presley;Blue Christmas
Elvis Presley;Here Comes Santa Claus
Frank Sinatra;Have Yourself a Merry Little Christmas
Frank Sinatra;Jingle Bells
Frankie Goes to Hollywood;The Power of Love
Gene Autry;Rudolph the Red-Nosed Reindeer
Gene Autry;Up on the Housetop
Jackson 5;I Saw Mommy Kissing Santa Claus
John Lennon and Yoko Ono;Happy Xmas (War Is Over)
Johnny Mathis;Winter Wonderland
Joni Mitchell;River
Josh Groban;Believe
Josh Groban;I'll Be Home for Christmas
José Feliciano;Feliz Navidad
Justin Bieber;Christmas Love
Justin Bieber;Mistletoe
Kelly Clarkson;Silent Night
Kelly Clarkson;Underneath the Tree
Kenny G;Old Lang Syne (Millennium Mix)
Leona Lewis;One More Sleep
Mariah Carey;All I Want for Christmas Is You
Mariah Carey;Hark! The Herald Angels Sing
Michael Bublé;A Holly Jolly Christmas
Michael Bublé;Ave Maria
Michael Bublé;Cold December Night
Michael Bublé;It's Beginning to Look a Lot Like Christmas
Michael Bublé;Silver Bells
Michael Bublé;White Christmas
Nat King Cole;Deck the Halls
Nat King Cole;The Christmas Song (Chestnuts Roasting on an Open Fire)
NewSong;Christmas Shoes
Paul McCartney;Wonderful Christmastime
Pentatonix;Carol of the Bells
Pentatonix;Joy to the World
Pentatonix;Mary, Did You Know?
Perry Como;Home for the Holidays
Perry Como;Silver Bells
Queen;Thank God It's Christmas
Run-D.M.C.;Christmas in Hollis
Shakin' Stevens;Merry Christmas Everyone
Stevie Wonder;Someday at Christmas
Stevie Wonder;What Christmas Means to Me
Straight No Chaser;12 Days of Christmas
The Beach Boys;Little Saint Nick
The Pogues;Fairytale of New York
The Ronettes;Sleigh Ride
The Waitresses;Christmas Wrapping
Trans-Siberian Orchestra;Christmas Canon
Trans-Siberian Orchestra;Christmas Eve/Sarajevo 12/24
Vince Guaraldi Trio;Christmas Time Is Here
Wham!;Last Christmas
Whitney Houston;Do You Hear What I Hear?
Whitney Houston;Joy to the World
