Maryla Rodowicz;Małgośka
Krzysztof Krawczyk;Parostatek
Irena Jarocka;Gondolierzy znad Wisły
Andrzej Piaseczny;Jest gejem
Ewa Bem;Tylko z tobą chcę być sobą
Kombii;Pokolenie
Izabela Trojanowska;Jestem twoim grzechem
Justyna Steczkowska;Dziewczyna szamana
Doda;Katharsis
Kayah;Supermenka
Blue Cafe;You May Be In Love
Ania Wyszkoni;Zapytaj mnie o to kochany
Kasia Kowalska;Coś optymistycznego
Edyta Górniak;To nie ja
Renata Dąbkowska;Samotność
Kasia Cerekwicka;S.O.S
Marta Mirska;Naucz mnie
Sylwia Grzeszczak;Tamta dziewczyna
Kombii;Awinion
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
Ania Wyszkoni;Wiem, że jesteś tam
Kombii;Jak pierwszy raz
Sylwia Grzeszczak;Małe rzeczy
Myslovitz;Długość dźwięku samotności
Feel;Jak anioła głos
Kayah;Testosteron
Ania Dąbrowska;Charlie, Charlie
Blue Cafe;Buena
Ewa Farna;Ewakuacja
Kasia Stankiewicz;Ruchome piaski
Justyna Steczkowska;Daj mi chwilę
Renata Przemyk;Kasia Nosowska;Obława
