2Pac ft. Dr. Dre; California Love
2Pac ft. K-Ci & JoJo; How Do U Want It
2Pac ft. Snoop Dogg; 2 of Amerikaz Most Wanted
2Pac; All Eyez on Me
2Pac; Ambitionz Az a Ridah
2Pac; Changes
2Pac; Dear Mama
2Pac; Hit 'Em Up
2Pac; I Get Around
50 Cent; In Da Club
Dr. Dre ft. Eminem, Skylar Grey; I Need a Doctor
Dr. Dre ft. Eminem, Xzibit, Nate Dogg; What's the Difference
Dr. Dre ft. Eminem; Forgot About Dre
Dr. Dre ft. Snoop Dogg, Kurupt, Nate Dogg; The Next Episode
Dr. Dre ft. Snoop Dogg, Nate Dogg; The Next Episode
Dr. Dre ft. Snoop Dogg; Let Me Ride
Dr. Dre ft. Snoop Dogg; Nuthin' But a G Thang
Dr. Dre ft. Snoop Dogg; Still D.R.E.
Eminem ft. Dido; Stan
Eminem ft. Dr. Dre; Guilty Conscience
Eminem ft. Nate Dogg; 'Till I Collapse
Eminem ft. Rihanna; Love the Way You Lie
Eminem ft. Rihanna; The Monster
Eminem; Lose Yourself
Eminem; Sing for the Moment
Eminem; Stan
Eminem; The Real Slim Shady
Eminem; Without Me
Jay-Z ft. Alicia Keys; Empire State of Mind
Jay-Z ft. Beyoncé; Bonnie & Clyde
Jay-Z ft. Kanye West; Ni**as in Paris
Jay-Z ft. Kanye West; Otis
Jay-Z ft. Rihanna, Kanye West; Run This Town
Jay-Z; 99 Problems
Jay-Z; Empire State of Mind (Part II) Broken Down
Jay-Z; Hard Knock Life (Ghetto Anthem)
Jay-Z; Numb/Encore
Kanye West ft. Jay-Z; N****s in Paris
Kanye West ft. Kid Cudi; Ghost Town
Kanye West ft. Lupe Fiasco; Touch the Sky
Kanye West ft. Pusha T; Runaway
Kanye West ft. Rihanna, Kid Cudi; All of the Lights
Kanye West; Gold Digger
Kanye West; Heartless
Kanye West; Jesus Walks
Kanye West; Stronger
Kendrick Lamar ft. Jay Rock; Money Trees
Kendrick Lamar ft. Rihanna; Loyalty
Kendrick Lamar ft. SZA; All the Stars
Kendrick Lamar ft. U2; XXX.
Kendrick Lamar ft. Zacari; Love.
Kendrick Lamar; DNA.
Kendrick Lamar; Humble
Kendrick Lamar; King Kunta
Kendrick Lamar; Swimming Pools (Drank)
Lil Wayne ft. Bruno Mars; Mirror
Lil Wayne ft. Drake, Future; Love Me
Lil Wayne ft. Drake, Jadakiss; It's Good
Lil Wayne ft. Drake; Right Above It
Lil Wayne ft. Eminem; Drop the World
Lil Wayne ft. Static Major; Lollipop
Lil Wayne; A Milli
Lil Wayne; Go D.J.
Lil Wayne; Got Money
Nas ft. Lauryn Hill; If I Ruled the World (Imagine That)
Nas; Ether
Nas; If I Ruled the World (Imagine That)
Nas; It Ain't Hard to Tell
Nas; Made You Look
Nas; N.Y. State of Mind
Nas; One Love
Nas; One Mic
Nas; The World Is Yours
Notorious B.I.G.; Big Poppa
Notorious B.I.G.; Gimme the Loot
Notorious B.I.G.; Hypnotize
Notorious B.I.G.; Juicy
Notorious B.I.G.; Mo Money Mo Problems
Notorious B.I.G.; Notorious Thugs
Notorious B.I.G.; One More Chance/Stay with Me
Notorious B.I.G.; Sky's the Limit
Notorious B.I.G.; Warning
OutKast; Aquemini
OutKast; B.O.B. (Bombs Over Baghdad)
OutKast; Hey Ya!
OutKast; Ms. Jackson
OutKast; Player's Ball
OutKast; Rosa Parks
OutKast; Roses
OutKast; So Fresh, So Clean
OutKast; SpottieOttieDopaliscious
Snoop Dogg ft. Dr. Dre, D'Angelo; Imagine
Snoop Dogg ft. Dr. Dre; Still D.R.E.
Snoop Dogg ft. Dr. Dre; The Next Episode
Snoop Dogg ft. Pharrell Williams; Beautiful
Snoop Dogg ft. Pharrell Williams; Drop It Like It's Hot
Snoop Dogg ft. Warren G, Nate Dogg; Regulate
Snoop Dogg; Gin and Juice
Snoop Dogg; Who Am I (What's My Name)?
