AC/DC;Highway To Hell
Beatles;Here Comes the Sun
Beatles;Hey Jude
Beatles;I Want To Hold Your Hand
Beatles;Let It Be
Beatles;Please Mr. Postman
Beatles;Twist and Shout
Beatles;Yesterday
Billy Talent;Devil in a Midnight Mass
Billy Talent;Devil on My Shoulder
Billy Talent;Fallen Leaves
Billy Talent;Red Flag
Billy Talent;Rusted from the Rain
Billy Talent;Surrender
Bob Dylan;Knockin' on heaven's door
Bon Jovi;It's My Life
Budka Suflera;Bal wszystkich świętych
Budka Suflera;Jolka, Jolka pamiętasz
Budka Suflera;Takie Tango
Czerwone Gitary;Ciągle pada
Czesław Niemen;Dziwny jest ten świat
Dżem;Wehikuł czasu
Dżem;Whisky
Eric Clapton;Tears in Heaven
Golden Life;Oprócz(błękitnego nieba)
Green Day;American Idiot
Green Day;Boulevard of Broken Dreams
Green Day;Holiday
Green Day;Wake Me Up When September Ends
Guns N' Roses;Knockin' On Heaven's Door
Guns N' Roses;Sweet Child O' Mine
Happysad;Zanim pójdę
Kobranocka;Kocham Cię jak Irlandię
Kombii;Słodkiego miłego życia
Lady Pank;Kryzysowa Narzeczona
Lady Pank;Mniej niż Zero
Lady Pank;Stacja Warszawa
Lady Pank;Tańcz głupia, tańcz
Lady Pank;Zawsze Tam Gdzie Ty
Linking Park;Castle of Glas
Linking Park;In The End
Linking Park;Numb
Linking Park;Somewhere I Belong
Linking Park;What I've Done
Luxtorpeda;Autystyczny
Maanam;Cykady na Cykladach
Maanam;Kocham Cię, kochanie moje
Metallica;Enter Sandman
Metallica;Master of Puppets
Metallica;Nothing Else Matters
Myslovitz;Długość dźwięku samotności
Myslovitz;Peggy Brown
Myslovitz;Scenariusz dla moich sąsiadów
Nirvana;Smells Like Teen Spirit
Oasis;Wonderwall
Panic! at the Disco;Girls / Girls / Boys
Panic! at the Disco;High Hopes
Panic! at the Disco;Let's Kill Tonight
Perfect;Ale w koło jest wesoło
Perfect;Autobiografia
Perfect;Chcemy być sobą
Perfect;Kołysanka dla nieznajomej
Perfect;Nie płacz Ewka
Perfect;Wszystko ma swój czas
Pink Floyd;Another brick in the wall
Pink Floyd;High Hopes
Queen;Bohemian Rhapsody
Queen;Don't Stop Me Now
Queen;Good Old-Fashioned Lover Boy
Queen;I Want to Break Free
Queen;Killer Queen
Queen;Love of My Life
Queen;Radio Ga Ga
Queen;The Show Must Go On
Queen;We Will Rock You
Rammstein;DEUTSCHLAND
Rammstein;Du Hast
Rammstein;Sonne
Red Hot Chili Peppers;Californication
Republika;Mamona
Republika;Telefony
System of a Down;Aerials
System of a Down;Chop Suey
System of a Down;Lonely Day
The Cranberries;Zombie
The Doors;Riders On The Storm
Urszula;Dmuchawce, latawce
Urszula;Koń na Biegunach
Wilki;Baśka
Wilki;Nie Stało Się Nic
