Aaron Korsh;W garniturach
Alan Ball;Sześć stóp pod ziemią
Baran bo Odar, Jantje Friese;Dark
Bill Dubuque, Mark Williams;Ozark
Bruce Miller;Opowieść podręcznej
Bryan Elsley, Jamie Brittain;Skins
Bryan Fuller;Hannibal
Carter Bays, Craig Thomas;Jak poznałem waszą matkę
Cheo Hodari Coker;Luke Cage
Chris Brancato, Carlo Bernard, Doug Miro;Narcos
Christian Linke, Alex Yee;Arcane
Chuck Lorre, Bill Prady;Teoria wielkiego podrywu
Dan Harmon, Justin Roiland;Rick i Morty
David Benioff, D.B. Weiss;Gra o tron
David Chase;Rodzina Soprano
David Crane, Marta Kauffman;Przyjaciele
David Shore;Dr House
David Shore;The Good Doctor
Douglas Petrie, Marco Ramirez;Defenders
Drew Goddard;Daredevil
Duffer Brothers;Stranger Things
Eric Heisserer;Cień i kość
Eric Kripke;Chłopaki
Eric Kripke;Nie z tego świata
Frank Darabont;Żywe trupy
Greg Berlanti;Arrow
Greg Berlanti;Flash
Greg Daniels;Biuro
Howard Gordon, Alex Gansa;Homeland
J.J. Abrams, Jeffrey Lieber, Damon Lindelof;Zagubieni
James Manos Jr.;Dexter
Jeff Eastin;Białe kołnierzyki
Jenji Kohan;Orange Is the New Black
Jeremy Slater;Umbrella Academy
Jesse Armstrong;Sukcesja
Joe Penhall;Mindhunter
Johan Renck;Czarnobyl
Jon Bokenkamp;Czarna lista
Jon Favreau;Mandalorian
Jonathan Nolan, Lisa Joy;Westworld
Joseph Weisberg;Amerykanie
Josh Heald, Jon Hurwitz, Hayden Schlossberg;Cobra Kai
Julian Fellowes;Downton Abbey
Kevin Williamson, Julie Plec;Pamiętniki wampirów
Lauren Schmidt Hissrich;Wiedźmin
Laurie Nunn;Sex Education
Liz Flahive, Carly Mensch;GLOW
Matt Groening;Simpsonowie
Matthew Weiner;Mad Men
Melissa Rosenberg;Jessica Jones
Michael Hirst;Wikingowie
Michael Schur, Dan Goor;Brooklyn 9-9
Noah Hawley;Fargo
Paul Abbott;Niepokorni
Peter Morgan;The Crown
Raphael Bob-Waksberg;BoJack Horseman
Roberto Aguirre-Sacasa;Riverdale
Ronald D. Moore;Outlander
Ryan Condal, Miguel Sapochnik;Ród smoka
Ryan Murphy, Brad Falchuk;Glee
Ryan Murphy;American Horror Story
Sam Levinson;Euforia
Sam Shaw, Dustin Thomason;Castle Rock
Shonda Rhimes;Chirurdzy
Steve Lightfoot;Punisher
Steven Knight;Peaky Blinders
Steven Moffat, Mark Gatiss;Sherlock
Sydney Newman;Doktor Who
Tom Kapinos;Lucyfer
Vince Gilligan, Peter Gould;Zadzwoń do Saula
Vince Gilligan;Breaking Bad
